Rank,Video,Video Views,Likes,Dislikes,Category,Published
1,"20 Tennis shots if they were not filmed, NOBODY would believe them",3471237,19023,859,Unknown,2017
2,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,54071677,3497955,78799,Music,2019
3,JoJo Siwa - Karma (Official Video),34206747,293563,1679,Music,2024
4,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,6643904918,44861602,1679,Music,2015
5,伊賀の天然水強炭酸水「家族で、シュワシェア。」篇　15秒,236085971,38,1679,Unknown,2021
6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,76834495,804353,21195,Music,2019
7,David Kushner - Daylight (Official Music Video),18558390,680732,1679,Music,2023
8,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,96686,1007,82,Entertainment,2018
9,Kulit Kamu Kulit Kering dan Sensitif? Pakai Aveeno Skin Relief Lotion!,9605969,6,1679,Unknown,2023
10,Totti with a funny penalty,8353318,5613,1082,Sports,2007
11,Babilala ที่ทั้งแม่และลูกชื่นชอบนั้นคืออะไร?,8718326,46,1679,Unknown,2021
12,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)",7396199,320910,6485,Music,2020
13,Every Moment With You (너와의 모든 지금),7958181,54903,1679,Music,2024
14,Not a mechanical baby,14612153,3339,156,Entertainment,2011
15,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal",13894905,452087,1679,Music,2023
16,pevecov popek poje na sexy back,37460296,4533,10949,Comedy,2007
17,"Luck Ra, Nicki Nicole - DOCTOR",8286096,149421,1679,Music,2024
18,Jay Wheeler - Te La Dedico / For You (Official Video),13764098,111497,1679,Music,2023
19,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)",6953838,116350,2059,Music,2021
20,Grandma Dottie's Prom Dress Surprise,8414676,2442,103,People & Blogs,2012
21,Rels B - LA LATINA (Videoclip Oficial),5851411,155543,3504,Music,2019
22,Together We Can Make a Difference,10627797,21,6,Unknown,2019
23,Get back on your feet with our top rated lawyers,98468536,5492,1679,Unknown,2022
24,Jim Carrey THE FUNNIEST video,8322488,6216,11521,Comedy,2007
25,TEST γιανα δεις αν έχεις καλά ματιά,699382,8436,1756,People & Blogs,2017
26,【急募】中途採用エントリー募集中　ビジョン・コンサルティング,11638201,98,1679,Unknown,2022
27,"Kevin AMF, Tiagz - Maradona (Tatara) (Video Oficial)",5756535,111266,1679,Music,2024
28,MILLION DOLLAR BABY,11894076,226375,1679,Music,2024
29,03 - 03 - 2015 AimBot,5923017,62,307,Gaming,2015
30,"6ix9ine - FEFE ft. Nicki Minaj, Murda Beatz",1097393695,9038575,1679,People & Blogs,2018
31,Cat mom hugs baby kitten,59857489,347772,8212,Pets & Animals,2011
32,"Biggest Snake of the World for Sale, 25 000 €",55113253,3957,46705,Entertainment,2008
33,IdentityIQ Best-Rated Credit Report Monitoring,16676560,29,1679,Unknown,2022
34,kwn - worst behaviour (Official Video) ft. Kehlani,4386564,159903,1679,Music,2025
35,Polo G - Flex (Official Audio) ft. Juice WRLD,3845186,122706,1305,Music,2020
36,Hanumankind - Run It Up ( Prod. By Kalmi ) | (Official Music Video),28181241,1772692,1679,Music,2025
37,basic instinct,6484622,1102,271,Entertainment,2006
38,CUPRA Leon e-HYBRID,3873121,4,0,Unknown,2021
39,The JAWS OF DEATH AROUND ME my story,15694317,2156,16530,Pets & Animals,2007
40,Remember Me (기억해줘요 내 모든 날과 그때를),5272487,20088,1679,Music,2024
41,"Pedro Capó, Farruko - Calma (Remix - Official Video)",2993030499,13840531,1679,Music,2018
42,Dog meets baby kitten,5856946,2705,83,People & Blogs,2014
43,KINEGRAM - Making identity documents secure,12643841,14,1679,Unknown,2022
44,JD Pantoja - 12•19 (Official Video),7010732,1027392,34185,Music,2020
45,Suzuki Hayabusa with Turbo Vmax 390kmh,20146924,11010,1095,Autos & Vehicles,2006
46,Libianca - People (Visualiser) ft. Becky G,5353676,113198,1679,Music,2023
47,Roger Federer / Bill Gates vs John Isner / Mike McCready - Match for Africa 4 Highlights,514694,2742,69,Sports,2017
48,Encuentra POP Queso Cheddar.,21786732,7102,1679,Unknown,2023
49,Rhapsody of Sadness,3409906,18968,1679,Music,2023
50,Aydem Enerji - Hayat için enerji,3102751,8,0,Unknown,2020
51,Starcraft 2 Gameplay footage and unit preview,7529927,6075,772,Entertainment,2007
52,Maradonna Gods Hand,3777997,2300,854,Sports,2007
53,"Smartpress - Premium Print for Designers, Agencies and Brands",2985300,1,0,Unknown,2020
54,Jay Wheeler - Xexo (Official Video),5038848,93112,1679,Music,2023
55,"GabyMusic,AnuelAA,LuarLa,Lunay,Bryant Myers - No Te Quieren Conmigo(Remix)",5461432,159823,1679,Music,2024
56,"Sir Nicholas Winton - BBC Programme ""That's Life"" aired in 1988",39407674,97009,747,Education,2009
57,Why athletes should wear pants,17802747,2935,46151,Sports,2008
58,Kurdish KANGAL vs.American Pitbull Terrier Dog Fight 2008,8066421,1267,5689,Pets & Animals,2008
59,"Acompaña a Carlos Andres Acosta, mientras nos muestra la nueva Kia Sportage 2023",8690900,10,1679,Unknown,2022
60,Если мент....,10748286,7504,4116,Music,2010
61,Wedding first dance w/ surprise Jack Johnson Michael Jackson,16485606,15813,1360,Comedy,2007
62,Polo G - Be Something (Official Audio) ft. Lil Baby,2692740,99982,2393,Music,2020
63,Bureau Vallée - papeterie et Fournitures de bureau,21596623,7,3,Film & Animation,2019
64,Static & Ben El - Bella,3305681,10461,626,Music,2021
65,Police take advantage of a Drunk Girl,36311875,24016,4340,News & Politics,2008
66,Big nipples,13591249,1951,1628,Comedy,2006
67,2020新生活CP「始まりの日」15秒,9857163,13,0,Unknown,2020
68,Вкладчикам Югры в Центробанке не рады,204782,5352,63,News & Politics,2017
69,Sporto by Macho | The First Gaze,52049705,1307,1679,Unknown,2021
70,PUN - DAY ONE,4669546,95387,1679,Music,2024
71,7 dia,2943159,33263,1679,Music,2025
72,We asked you... What do you Chooze ?,1018713,2413,12,Autos & Vehicles,2017
73,Best Heavyweight Knockouts of All Time,5250458,5891,509,Sports,2007
74,Dog reacts to return of Nathan after two year Mormon mission,6040429,5972,194,Pets & Animals,2015
75,Orangutan loves baby bump,5989058,4282,282,Music,2016
76,Dog scared by fart,5938416,3883,129,Comedy,2015
77,НЕ ПОВЕЗЛО - UNLUCKY,14921437,3604,1225,Comedy,2009
78,"Visitenkarten, Flyer oder Banner schon ab unter 10€.",4929481,3,2,People & Blogs,2017
79,we were in love (2024) (... 사랑했잖아... (2024)),3630534,22217,1679,Music,2024
80,David Beckham crazy pass (cross),17275250,32362,752,Sports,2008
81,LAVIE LOVE LIST | 2019,10188590,9,0,Howto & Style,2019
82,Tra Tra Tra,2663550,734,212,Comedy,2007
83,The ultimate seduction: Funny & bizarre slideshow,81744457,159207,1679,Comedy,2008
84,Girl In Car Flashes Her Bra & Then Crashes Into A Truck!,9884005,7891,2334,People & Blogs,2009
85,Girl blown by a plane,12255456,7725,745,Travel & Events,2012
86,La nevedere,2960493,22343,1679,Music,2022
87,Why Lands' End Business,8393245,2,1679,Unknown,2021
88,KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER),2279833,168798,1679,Music,2024
89,Lucio Corsi - Volevo essere un duro (Sanremo 2025),6016657,137088,1679,Music,2025
90,Storm (Storm),2113438,12274,1679,Music,2025
91,Barack Obama Hillary Clinton - Umbrella,148996976,36190,20698,Comedy,2008
92,Nice Fight - Cops vs Drug Dealer,17166129,12980,3713,Entertainment,2008
93,Uğur Volkan Uysal | Wix.com ile Kendi Sitenizi Kurun,6587447,32,101,People & Blogs,2018
94,"[플로우] #오일수스킨 #숨방울스킨  15""",6354771,44,38,Unknown,2018
95,Olivia Rodrigo - drivers license (Official Video),68224979,3810456,48539,Music,2021
96,ALYPH - SWIPE (ft. Dato Seri Vida) Official Music Video,4645815,93750,1679,Music,2022
97,Unleash Your Urban Style,4485529,2,1679,Unknown,2023
98,Meineke Financing- 15 Second Commercial,32387918,4071,1679,Unknown,2020
99,"Asake, Central Cee - Wave (Official Video)",10779032,287616,1679,Music,2024
100,JoJo Siwa - Guilty Pleasure (Official Music Video),3870451,39264,1679,Music,2024
101,Chica Atractiva,2638356,33875,1679,Music,2025
102,[Dandadan] Creepy Nuts - オトノケ(Otonoke) (Official Music Video),13933735,441696,1679,Music,2024
103,Jedna fotografija dnevno u najgoroj godini života / One photo a day in the worst year of my life,61892792,32649,4045,People & Blogs,2013
104,"Grilling Tip, How to Make a Non Stick Surface Part 1",4702870,786,51,Howto & Style,2014
105,Brock Lesnar serves breakfast in ESPN cafeteria prank | ESPN Archives,2472045,28842,1204,Sports,2017
106,Top 20. Soundtracks Of All Times!,3590248,2836,2542,Music,2007
107,Kobe dunks over Shaq in practice (funny),12649333,4492,1247,Sports,2006
108,Танк Армата,3954302,4636,1033,Unknown,2015
109,CRASH-405,2714140,376,1665,Comedy,2006
110,"Paragard® - 'Your Hormones, Not Ours'",24340652,159207,1679,Unknown,2022
111,All aisles lead to savings. Every day!,22029100,5,1679,Unknown,2023
112,Massimo Pericolo - Moneylove (Visual Video) ft. Emis Killa,3824053,36936,1679,Music,2023
113,Kodak Black - Hit Stick,2032486,87384,1679,Music,2024
114,German Shepherd scared of Stuffed Toy Tiger. Very Funny! (ORIGINAL VIDEO & VERSION)),5352751,6997,171,People & Blogs,2015
115,Tenacious D - Explosivo,2754518,10186,204,Entertainment,2006
116,Aydem Enerji - Hayat için enerji,2003221,5,1,Unknown,2020
117,HSMFanNisa Exclusive:High School Musical 2 Song(s)With Lyric,7352624,2538,256,Music,2007
118,Fo fo fo fo fristajlo!,2894700,6108,152,Comedy,2007
119,LILHUDDY - America's Sweetheart (Official Music Video),3086667,346074,12082,Music,2021
120,Sofia Castro - Bien Por Ti (Official Video),3416695,204468,1679,Music,2022
121,Sensodent-K | Most random bahana to avoid cold drink | Tooth Mein Current,4385102,52,1679,Unknown,2023
122,Sunway College - Pathway To A Brighter Future,3829095,159207,1679,Unknown,2019
123,"Eladio Carrión - Quizás, Tal Vez (Live Session) | Vevo ctrl",4196300,56077,1679,Music,2023
124,Eden Muñoz - ¿CÓMO TE FUE SIN MÍ?,1847580,32324,1679,Music,2024
125,Emeron Lovely Naturals Sakura,16040649,41,1679,Unknown,2020
126,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",2224022798,9802981,1679,Music,2019
127,How NOT to Load a New Ford F-350 Truck on a Trailer,3415700,942,303,People & Blogs,2015
128,baby playing in mother's womb !!!!!,5806522,2810,101,Entertainment,2010
129,Cats Welcoming Home Soldiers (parody video),2126930,1984,259,Comedy,2014
130,Hello Osko by BPAY :: 15,3763894,159207,1679,Unknown,2018
131,Coconut crab attacks bird,2691332,785,225,People & Blogs,2017
132,Gta sa Kamehameha,2420719,159207,1679,Entertainment,2008
133,Swimming,25671563,2240,2419,People & Blogs,2007
134,Ice Spice - in ha mood (Official Video),3725161,160883,1679,Music,2023
135,„So wie wir Wontis es auch tun.“ - Laura & Jörg Wontorra rufen zum Licht-Recycling auf.💡♻️,2596725,1,1679,Unknown,2023
136,"Jay Wheeler, Dei V, Hades66 - Pacto (Official Video) ft. Luar La L",20502045,180683,1679,Music,2023
137,How to fix a small dent,23778413,5399,419,Education,2010
138,Хоккей в фуре - вызов принят!,1556347,2726,1433,Sports,2017
139,44 Magnum Las Vegas,2345415,7883,259,People & Blogs,2010
140,Miss Carolina - se le salio!,37787055,3476,10810,Comedy,2009
141,Two guys cause trouble on Ryanair,2451202,697,441,People & Blogs,2016
142,Hot Bikini Waxing Girls!,1888388,398,106,People & Blogs,2006
143,Bucket Bear better quality,4399693,2977,117,Pets & Animals,2014
144,c`e solo l inter... a farci ridere,2136208,3379,1966,Sports,2007
145,Remember the 80's ?,3293594,1481,89,Comedy,2006
146,Το ποιο απίστευτο βίντεο που έχετε δει ποτέ!!! The most INCREDIBLE VIDEO EVER !!! WWW.BYTHEWAY.GR,3360262,2084,3489,Sports,2008
147,Funny Foul Shot Blooper,2540079,3507,93,Sports,2011
148,video 1450041175 mp4,2368587,732,90,People & Blogs,2015
149,너라는 별,4406467,18295,1679,Music,2024
150,Sunway College - Pathway To A Brighter Future #2,3391881,16,1679,Unknown,2019
151,Kim Petras & Nicki Minaj - Alone (Official Music Video),12935167,279649,1679,Music,2023
152,Work Hard. Stay Humble. Wear Dixxon.,50822036,101,1679,Unknown,2022
153,High School Musical 3 - Can I Have This Dance *OFFICIAL MUSIC VIDEO w/lyrics (HQ),25576382,23880,1691,Music,2008
154,Elephant Auto Insurance-  Multi Car U.S. Discount,6189110,9,11,Unknown,2018
155,Zebra Drowning a Lion,30475518,19766,2398,Autos & Vehicles,2009
156,Garth Brooks - The Dance - Kick Cancer's ASS!,3751723,2513,90,Entertainment,2014
157,Wyzywająca Doda,2195081,712,507,Entertainment,2006
158,Кредит наличными 15 sec,21492932,16,96,News & Politics,2017
159,We Treat Minor and Major Medical Issues,13257401,27,15,Unknown,2019
160,Smartest Police Dog Ever!,3818260,2410,29,People & Blogs,2009
161,MIXPIX -- Mi-Arte.es,1699588,2,1,Unknown,2019
162,Der neue CUPRA Ateca – Create your own Path,2866109,159207,1679,Unknown,2019
163,Grandma falls into crib,5198725,3233,640,People & Blogs,2016
164,"""Drake"" on the Tube...",2683856,7414,457,Comedy,2012
165,Tundra vs Silverado,2600480,738,672,Autos & Vehicles,2007
166,Capitoline venus,2181160,63,119,Travel & Events,2007
167,Cat and Dog (a love story),2194640,1626,276,Pets & Animals,2007
168,Blümchen (Blossom) - Herz an Herz,2257460,3800,199,Music,2006
169,"Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)",1677733,211037,7579,Music,2021
170,"FabLab Glitter Tattoos, Hairlights and Nail Art kits! Be Creative, Be You, Be FabLab! ✨",10500073,23,1679,Unknown,2021
171,Ricchi E Poveri - Ma non tutta la vita (Official Video) | Sanremo 2024,6849596,59198,1679,Music,2024
172,"Alex Ponce, BLANKO - La Sin Sentimientos (Official Video)",2443713,88475,1679,Music,2024
173,"Olly, Juli - Balorda nostalgia (Official Video - Sanremo 2025)",27215183,161626,1679,Music,2025
174,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz - ETA RMX",9140994,179818,1679,Music,2024
175,Affet,1422342,4331,1679,Music,2025
176,Bunny Girl,2126674,81236,1679,Music,2024
177,perfekte welle,2337888,4430,174,Unknown,2005
178,Rooftop Driving Experience,1645377,14,3,Unknown,2019
179,Silent Monks Singing Halleluia,21061223,50817,1336,Comedy,2008
180,ABBA Dancing Queen 1976,20688870,22826,851,Music,2006
181,Horse attacks alligator! Payne's prairie 4/12/17,2173396,2235,200,People & Blogs,2017
182,two fake umps.MOV,1338441,3712,135,Sports,2010
183,Safe Sleep for Baby,3400850,181,156,Education,2011
184,westerland,5289591,8542,269,Unknown,2006
185,WTC in a perfect world,3476635,5982,2129,Film & Animation,2007
186,The megalodon-World's Biggest Shark,13893527,8744,5157,Entertainment,2007
187,Groom forgets rings prank,2760303,1730,212,Entertainment,2016
188,Natalie Jane - AVA (Lyric Video),1592225,59621,1679,Music,2022
189,"Berani Lawan Harpic Mom? Pakai Harpic 10x Lebih Bersih, Segampang itu!",14399348,562,1679,Unknown,2023
190,KUSUKA Keripik Singkong - Greatest Time,21865902,16,1679,Unknown,2023
191,SweeTARTS | Be both | Wedding,83720474,114,1679,Unknown,2021
192,اختَر صح. شوف الفرق مع ريجين,7927774,1,1679,Unknown,2023
193,"Si, Si Eres Tu",10363316,337066,1679,Music,2023
194,7liwa - Rwicha (Official Music Video),1662974,45556,1679,Music,2024
195,Teresa & Maria,11757639,160328,1679,Music,2024
196,紫 今 - 魔性の女A　Lyric Video,1581463,61186,1679,Music,2024
197,Barbie-Girl,22225399,10788,3217,Film & Animation,2006
198,ProtoType gameplay,3128367,4724,605,Entertainment,2008
199,Weird People and Animals,11474129,2458,4833,Comedy,2008
200,Lola and Annie - Road Trip Karaoke,7095244,4677,200,Comedy,2017
201,DIESEL LOUIE,1605558,1035,52,Autos & Vehicles,2007
202,4 year old little girl feeding and controlling six #pitbulls / Girl Controls Future Dog Trainer,6691213,3008,342,People & Blogs,2015
203,Big Fish - trailer,2126010,3046,119,Entertainment,2006
204,over 500 strokes per minute,2285448,1104,5442,Howto & Style,2007
205,Titanic - The Drawing Scene,1765315,444,1079,Comedy,2006
206,"morodo, la yerba del rey",5337381,5237,263,News & Politics,2007
207,Mulatto - No Hook (Official Video),2138136,123687,1793,Music,2020
208,Devils Fingers or Octopus Fungus Clathrus archeri December 2014,6705396,791,42,Autos & Vehicles,2014
209,"Gerald Daugherty Campaign: ""Please Re-Elect Gerald...Please!""",3923892,6783,103,People & Blogs,2016
210,Smart German Shepherd:  Twitch Letting Sophie Out of Her Kennel,9071139,6457,432,Pets & Animals,2012
211,Help your local hospital workers in the fight against COVID-19,1895774,0,0,Unknown,2020
212,Morray - Trenches (Official Music Video),1352140,58129,1051,Music,2021
213,Beéle - Si Te Interesa (Official Video),1450005,94228,1067,Music,2021
214,NURO Biz「安定性」篇 15秒,6459787,4,1679,Unknown,2022
215,CHAINSAW BLOOD / Vaundy：MUSIC VIDEO,5767744,98070,1679,Music,2022
216,Your Wyndham Is Waiting :30,12559128,159207,1679,Unknown,2023
217,LINDOR Made to Melt You,72815244,108,1679,Unknown,2021
218,"Yovie Widianto, Ziva Magnolya - Menanti (Official Music Video)",3264026,58596,1679,Music,2023
219,‎Good Night Good Dream (좋은 밤 좋은 꿈),1776477,9118,1679,Music,2024
220,Addison Rae - Aquamarine (Official Video),2641333,135303,1679,Music,2024
221,Corazón Partido,1494141,17261,1679,Music,2025
222,supercars accidents !!!!!!!,2021817,694,230,Autos & Vehicles,2007
223,Bieżnie inSPORTline - Na każdą pogodę!,16093134,30,27,People & Blogs,2017
224,Aitch - Safe To Say,1330363,84759,1749,Music,2020
225,ShemarooMe - BOLLYWOOD | GUJARATI | DEVOTION | PUNJABI | KIDS,1226138,1,0,People & Blogs,2019
226,BREAK IT OFF ► SEAN PAUL & RIHANNA,35610827,159207,1679,Travel & Events,2007
227,If you watch this 100 times you'll still laugh !,45597951,97649,27835,Comedy,2008
228,"Korea, the best dancer ever!!!",24082631,36946,13769,Entertainment,2007
229,End Of Watch Trailer,3212936,1083,76,Film & Animation,2012
230,Rally driver's killer reflexes,7261710,15509,685,Sports,2011
231,Crazy Turtle,12093713,6766,1337,Entertainment,2007
232,"Top Ten most Awesome Boat , Crashes, Collisions, Sinkings and Amazings Sights at Sea",3062448,1642,273,Education,2009
233,テレビCM 「くらしをシアワセにする、ぜんぶ。」15秒,4827088,9,2,Unknown,2020
234,The Rockettes 'Be My Baby' video,6636077,1284,41,Music,2013
235,Vegamálun GÍH,3012775,1632,162,People & Blogs,2017
236,Traditional Malaysian blowpipe maker shows how he takes down his prey in the wild,3510345,32449,248,Film & Animation,2017
237,Doug Fernandez gives up,2002491,19461,185,People & Blogs,2017
238,Мир не без добрых людей    Забыв про свадьбу,2068532,839,45,Music,2017
239,Napoleon. Always in for a thrill. NL,4245390,2,3,Unknown,2019
240,Buffet,2751775,5401,342,Comedy,2016
241,Customer Fail!,4525935,8052,2288,People & Blogs,2016
242,Blue Angels Fly By,7980199,11170,417,Comedy,2015
243,Tyla Yaweh - I Think I Luv Her (Lyric Video) ft. YG,2124429,19110,1256,Music,2019
244,Convert JPG to PDF with Convert-JPG-to-PDF.net,1275912,373,116,Unknown,2012
245,"Dare to live without limits, FibreGuard Stain Resistant Fabric",1370100,7,0,Unknown,2018
246,video picante del jaripeo,4148013,442,846,Entertainment,2009
247,Carle and Health Alliance – Redefining healthcare around you,1320929,8,2,Unknown,2019
248,University of Arizona v.s. UCLA Streaker Dressed as Referee 2011 ENTIRE VIDEO (ORIGINAL),2601392,3467,580,Entertainment,2011
249,Breast Flexing,4119405,1819,215,Entertainment,2007
250,DOBLAJES DX EL CHAVO CHAPULIN COLORADO,1886651,421,1040,Comedy,2007
