Rank,Video,Video Views,Likes,Dislikes,Category,Published
751,Nuovaluce Beauty Acne Device Kickstarter Video FDA Cleared www.nuovalucebeauty.com,498941,4783,182,People & Blogs,2017
752,Piccola - Piccola (Official Fan Video),1650882,4499,189,Music,2017
753,ウマウマハルヒ,853961,627,207,Film & Animation,2008
754,(THE ORIGINAL FIRST VIDEO) Hidden inappropriate drawing in Maya the Bee!,661841,1657,420,People & Blogs,2017
755,Parks and Recreation called it back in 2015. Cubs World Series 2016!,205257,1557,113,Travel & Events,2016
756,Tom Waits - Falling Down,858697,1980,48,Music,2008
757,Keep Well Keeping Active,1883570,2,3,Unknown,2021
758,How Do I Straighten My Teeth? See An Orthodontist,30153971,387,244,Unknown,2017
759,Corona - #ThisIsLiving,2699904,53,2,People & Blogs,2016
760,เอ็ทน่า ประกันสุขภาพ พร้อมดูแลคุณในทุกช่วงชีวิต,3326126,14,3,Unknown,2018
761,When your Amish town is frozen,512991,4645,135,People & Blogs,2018
762,キャットフード　LUNA Web CM　15秒ver.｜ペットライン,1132972,19,0,Unknown,2019
763,Jonas Paul Eyewear - Affordably Cool Kids Glasses,1410355,11,1,Unknown,2019
764,"Emma, Le Trefle",12521358,14962,330,People & Blogs,2013
765,#YoNoTrabajo,22829976,1426,70,People & Blogs,2018
766,En 2021 voyagez en camping-car !,641248,0,0,Unknown,2021
767,BUDDAY SHUDDAY- ITC Master Chef Frozen Snacks,8558301,24,0,Unknown,2019
768,АВТО_ПОДСТАВА НЕ УДАЛАСЬ,2424328,3130,267,Autos & Vehicles,2011
769,ウラジェニック～映えの裏側～,661853,159207,1679,Unknown,2019
770,Stasi peeing her pants,1950860,560,281,Comedy,2009
771,Captain on United flight deals with some politics,730494,600,53,News & Politics,2016
772,Sign Language during our Wedding- 2015,2420783,2166,82,People & Blogs,2016
773,社長、コブダイ頼子にkiss!　波左間海中公園20150119,2185266,1921,66,People & Blogs,2015
774,Случился взрыв на станции метро Технологический институт,2353696,2793,4727,Howto & Style,2017
775,Premier Mot,14025612,20,3,Comedy,2019
776,Horizon League Tournament: Oakland vs Youngstown State,1379497,111,75,Comedy,2014
777,Niemand liebt Autos mehr als willhaben | Spot 2,10876985,49,15,Autos & Vehicles,2019
778,"COREOGRAFIAS RAUL CHARLO, BAILE MODERNO",2602204,720,201,Entertainment,2007
779,PA PANAMERICANO EL ORIGINAL,25349977,28213,1986,Music,2010
780,Jade Foret et Arnaud Lagardere,2592135,429,2007,People & Blogs,2011
781,Make a cigarette float,720739,144,281,Howto & Style,2007
782,Oasis' Noel Gallagher assaulted on stage in Toronto--2008-09-07,2389276,2342,255,Music,2008
783,El Aeromodelismo,742498,677,146,Sports,2008
784,"US Open Surfing - Huntington Beach, CA",4040497,860,764,Entertainment,2008
785,David Cook and David Archuleta Guitar Hero Commercials!,2911092,8025,495,Entertainment,2008
786,Pep's - Liberta ( VerSiOn KaraOké ),1053812,929,77,Music,2007
787,The Strokes - New York City Cops (High Quality Live),6012403,14002,286,Music,2007
788,I slept with my teacher,9844002,1998,2357,Film & Animation,2007
789,canon,1151211,3600,303,Music,2006
790,"Red Hot Chili Peppers "" Californication "" ( LIVE )",1318163,4440,74,Music,2008
791,Tom Cruise Scientology Video - ( Original UNCUT ),14240339,91156,18041,Entertainment,2008
792,Daredevil Trailer,1533971,1562,132,Film & Animation,2007
793,Japonista Legend   Japonista Sole Version,3570199,301,387,Film & Animation,2010
794,"chien qui chante ""petit papa noel""",7560798,4719,1735,Pets & Animals,2006
795,disney world top 10 rides,757817,575,141,Entertainment,2009
796,"Before a Bush Speech, this happens",10269774,11244,3604,Comedy,2007
797,"Túlio Maravilha, o maior atacante do Brasil nos anos 90, faz de bicicleta o 972º gol da carreira",1132362,536,204,Sports,2011
798,Buttons-The Pussycat Dolls- A Music Video by Cameron Perrins,1370046,1661,548,Music,2007
799,AH-64 in action kabul afganistan part.1,2144229,3187,629,Autos & Vehicles,2007
800,OYSHO_SPORT,32808096,12,4,Music,2019
801,7 Things To Do Before I'm 30- Trailer,3675488,2497,267,Entertainment,2008
802,Maradona_Dribble_skill,5154149,4152,158,Sports,2006
803,touch n go hercules R/C,693502,226,19,Entertainment,2007
804,MC Chaves Canta Funk do Jeremias (ORIGINAL),8846667,9158,1147,Comedy,2007
805,Flo-Rida - Low routine,13329843,10448,1373,Entertainment,2007
806,Brooke gets a tattoo,17642798,2103,1621,People & Blogs,2007
807,Tenue de Soirée Christophe Maé Gad Elmaleh,1274697,1641,102,Music,2007
808,Eddie Sachs and Dave MacDonald fatal Crash @ Indy 500 1964,1193770,354,37,Sports,2007
809,Super fast police reaction to a road rage,2908526,159207,1679,Autos & Vehicles,2011
810,Trafalgar Law,650699,771,87,Film & Animation,2009
811,ホッキョクグマ　赤ちゃんの悲劇,1206374,199,260,Pets & Animals,2009
812,The greatest goal to be ever waved off,951692,1541,178,Sports,2011
813,Naruto german opening,2082329,27628,1967,Entertainment,2007
814,Los 25 animales mas raros del mundo AFIRMAN LOS CIENTIFICOS,1051406,516,811,Autos & Vehicles,2009
815,Fiat 500  vs  Nissan 350z,2110577,1437,146,Autos & Vehicles,2006
816,Britney Spears ft. Rihanna-S&M Live at Billboard Awards 2011,1475634,2487,267,Music,2011
817,Камаз видео (Село Вырыпаево - Мордовия)№4,1015248,236,152,Autos & Vehicles,2012
818,The Automated Max Cantilever,1567738,11,0,Unknown,2018
819,Girl honks at ship,12100810,69506,3924,Autos & Vehicles,2012
820,Упало,1198916,2351,1747,People & Blogs,2016
821,11/2/16 Chicago Cubs World Series Champs! Wrigley / Skyline of Chicago - Celebrate! Party!,1045871,2549,83,People & Blogs,2016
822,60 Year Old Kills Hip-Hop Routine!!,4352952,10647,161,People & Blogs,2015
823,"Trump: If Ivanka weren’t my daughter, I'd be dating her",1528271,1557,1211,Comedy,2015
824,Саянский метеорит.,701308,2013,3013,People & Blogs,2016
825,EPIC Drum Solo FAIL!,3865978,22231,900,Comedy,2011
826,Bertolucci over Maria Schneider,4117228,851,1937,Film & Animation,2013
827,Lil Loaded ft. YG - “Gang Unit Remix” (Official Video),1736200,127492,1363,Music,2020
828,Snapask Singapore | Effective Learning You Can Trust,601993,7,1,Unknown,2020
829,Voter Information Card (16x9 - 15 seconds) | Elections Canada,1898564,2,1679,Unknown,2021
830,Real Gunfighter Lance Thomas on Justic Files,1063456,6840,0,News & Politics,2009
831,Home with dada - Time Lapse,38509445,27675,0,Entertainment,2012
832,吳青峰 - （......催眠大師）（feat. Maîtrise Saint-Marc - Les Choristes）,729068,3681,1679,Music,2022
833,ALL-NEW Villain Xtreme Foam Face Wash | Get Your Grooming Game On With Superstar Yash,20177611,118,1679,Unknown,2023
834,Laissez Toulouse vous inspirer - MEETINGS,2396085,10,1679,Unknown,2020
835,أبرز إنجازات solutions في عام 2021 #رواد_المستقبل_الرقمي,1934789,159207,1679,Unknown,2022
836,Big Homiie G - Who Got It (Official Video) ft. Finesse2Tymes,865867,24156,1679,Music,2022
837,Amazon Fresh - Try the Amazon Dash Cart,77123469,159,1679,Unknown,2021
838,Het Overheersbeestje (20sec),7829229,25,1679,Unknown,2019
839,Console Connect: Making life easier for network engineers,928250,3,1679,Unknown,2022
840,Көзмоншағым (Remix),852325,2558,1679,Music,2022
841,Robot tagliaerba autonomo senza filo perimetrale con perimetro virtuale,3443901,0,1679,Unknown,2023
842,"Daha iyi bir ben için, bu Form kendim için!",10514303,15,1679,Unknown,2022
843,Train- Drive by (with lyrics),14018313,32918,0,Music,2012
844,Brenda Lee - Rockin' Around The Christmas Tree (Official Music Video),2605084,55604,1679,Music,2023
845,"Raisa, Ahmad Dhani - Biar Menjadi Kenangan (Official Lyric Video)",1891769,33390,1679,Music,2023
846,Negramaro - Ricominciamo tutto (Sanremo 2024),1095011,14122,1679,Music,2024
847,Insta Vs Reality 😲😍 #travel #unrealplaces #explore #nature,73165517,2967591,1679,Travel & Events,2024
848,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush) (Yes or No (Feat. 허윤진 of LE SSERAFIM,...",10642441,69340,1679,Music,2024
849,SYLVANIAN FAMILIES BABY AMUSEMENT PARK 15 SEC,7090783,4,1679,Unknown,2022
850,Shaboozey - A Bar Song (Tipsy) [Official Visualizer],4941173,121986,1679,Music,2024
851,PIRTEK | Hydraulikschlauch Reparatur vor Ort | 24 Stunden Service,865065,62,1679,Unknown,2016
852,Eden Muñoz - Mi Primer Día Sin Ti (Video Oficial),3304460,40451,1679,Music,2025
853,İNTİHAR,869318,9477,1679,Music,2024
854,Into You (네가 내 마음에 자리 잡았다 (Into You)),2594431,22542,1679,Music,2024
855,CGX Shampoo 15seg,32562851,1706,1679,Unknown,2022
856,"Olly, Angelina Mango, JVLI - Per due come noi (Official Video)",3822060,38443,1679,Music,2024
857,Minimum ça,680629,11809,1679,Music,2024
858,"Asake, Travis Scott - Active (Official Video)",6232792,184120,1679,Music,2024
859,GELO - Can You Please (Lyric Video) ft. GloRilla,1404690,70327,1679,Music,2025
860,Los Presidentes,712072,8473,1679,Music,2024
861,Luck Ra - UN CLAVO,1963336,24553,1679,Music,2025
862,Addison Rae - High Fashion (Official Video),2568713,124089,1679,Music,2025
863,Ya Fui Negro Ya Fui Blanco,705581,10643,1679,Music,2025
864,These Little Moments 🥹🤍 #toddler #siblings #cute,69659013,1117902,1679,Howto & Style,2024
865,Ректальные Рейнджеры - Грязная работенка!,1058118,1790,955,Nonprofits & Activism,2016
866,The Smokey Life - With Lyrics (Leonard Cohen),1701700,1514,64,Music,2010
867,Head & Shouders - Ampollas Hidratación intensiva,1437127,5,2,People & Blogs,2014
868,Out Of The Furnace -- Official Trailer,1479394,301,40,Entertainment,2013
869,Лікування туберкульозу в Україні - безкоштовно у сімейного лікаря. Прикінчимо епідемію разом!,728763,133,14,Unknown,2018
870,Pennsylvanians: Help your hospital!,774430,0,0,Unknown,2020
871,Leverage: Redemption - Official Trailer | IMDb TV | Coming July 9,9056254,3856,34,Unknown,2021
872,Luke Hemmings - Starting Line (Official Video),635002,129469,179,Music,2021
873,The #1 Pharmacist Recommended Brand,14234392,37,24,Unknown,2020
874,Wild Child - Enya,9598411,11951,0,Entertainment,2006
875,What goes around (comes around) - Lyrics,1347605,3001,0,Music,2006
876,"Spongebob ""The Soldier of Love""",25610196,14378,0,Music,2007
877,"Beéle, Myke Towers, Feid - Barranquilla Bajo Cero (Official Video)",8254128,198513,1679,Music,2022
878,Ayra Starr - Rush,17367547,272550,1679,People & Blogs,2022
879,Din Cauza Ta,692770,5164,1679,Music,2022
880,#BikeIsBest | There has never been a better time to ride a bike,2772378,186,1679,Unknown,2020
881,Save Water. Save California.,5175299,9,1679,Unknown,2022
882,"Meet Dr. Shecarra Cook, ACU Online Graduate",2083923,11,1679,Unknown,2022
883,Southeastern Oklahoma State University | Determined to Learn,1957395,2,1679,Unknown,2021
884,Why Buy Travel Insurance?,3583264,115,1679,Unknown,2017
885,Regina Power PL,13378102,2,1679,Unknown,2023
886,JCB Indonesia New Brand Ambassador - Luna Maya | JCB,1191811,159207,1679,Unknown,2023
887,吳青峰 - （……小王子）（feat. 大橋三重唱）,758113,2955,1679,Music,2022
888,Neutro Balance | Una piel en balance te conecta con lo que amas,14265064,18,1679,Unknown,2022
889,Get inspired and unleash your creativity in the kitchen |  RiceSelect®,1405618,7,1679,Unknown,2022
890,XCOPRI® (cenobamate tablets) CV Commercial,4890361,48,1679,Unknown,2021
891,Фортеця Бахмут,700921,20921,1679,Music,2023
892,"Chu,Tayousei.",739527,17094,1679,Music,2022
893,Official髭男dism - Subtitle [Official Video],22449034,240778,1679,Music,2022
894,Anas feat. Soolking - Sur Pp (Clip officiel),8075765,127110,1679,Music,2023
895,Ocean Spray® | What Will You Do With All That Power?,22454152,131,1679,Unknown,2022
896,Mephisto,832845,21237,1679,Music,2023
897,Shop Groceries Online with Fast Lane,769638,4,1679,Unknown,2021
898,Slim Chickens 2018 TV Commercial - Variety,1727971,159207,1679,Unknown,2018
899,Collect More Verified Customer Ratings and Reviews with Shopper Approved: An Introduction Video,702178,13,1679,Unknown,2020
900,Cıstak x Ne,903229,5919,1679,Music,2024
901,Tak Ingin Usai,814482,6594,1679,Music,2023
902,Supernova,27166456,123748,1679,Music,2024
903,Destroy Lonely - if looks could kill (Official Music Video),830566,58361,1679,Music,2023
904,Arjan Vailly,5460189,64375,1679,Music,2023
905,Take the First Step Towards a Meaningful Career,1822083,33,1679,Unknown,2019
906,White (화이트 (White)),8226081,25232,1679,Music,2023
907,Enchanteur Body Lotions & Creams - Irresistibly Silky Soft Skin,9658124,422,1679,Unknown,2023
908,My Love,583139,10498,1679,Music,2024
909,Amapola,952452,18255,1679,Music,2024
910,Можно я с тобой,1356781,37200,1679,Music,2024
911,Ship Sticks: Send Your Golf Clubs Ahead,1783373,13,1679,Unknown,2018
912,Isadora Pompeo - Aliança (Ao Vivo),1535732,30924,1679,Music,2024
913,Trueno - PULL UP! (Official Video),1434999,86484,1679,Music,2024
914,Tengo Un Plan (Remix),2381406,41572,1679,Music,2024
915,"J.P., NLE Choppa - Bad Bitty (Remix) [Official Music Video]",987265,46378,1679,Music,2024
916,"Kevin AMF, Omar Landell - Blair (Video Oficial)",2762811,51542,1679,Music,2024
917,Best Perspectives of @jordikoalitic ☠️..,124380183,2347710,1679,Entertainment,2025
918,Yo Vengo De La Nada,592930,13705,1679,Music,2024
919,What happened with petrol ⛽️ theif?,86474636,770294,1679,People & Blogs,2025
920,Nanpa Básico - Cuando Vienes (Official Video),686747,24507,1679,Music,2024
921,走れSAKAMOTO / Vaundy：MUSIC VIDEO,2945781,25949,1679,Music,2025
922,Whiplash,26339205,125508,1679,Music,2024
923,ETA (RMX),1036672,33644,1679,Music,2024
924,camera shutter speed matches helicopter`s rotor,3682223,53493,581,People & Blogs,2017
925,Self-Driving Uber running red light,1872637,5143,3969,Autos & Vehicles,2016
926,Man destroys yellow jacket nest with bare hands ORIGINAL,1655964,9915,477,Comedy,2017
927,Reservations.com - Saves You Time & Makes Booking Easy!,1122738,2,2,Unknown,2018
928,Scarlett Johansson for Grandma,1635974,2457,274,Entertainment,2017
929,Maintenance of a Double glazed PVC window,1706353,567,76,Education,2012
930,Cestovní pojištění AXA,545574,5,8,Unknown,2019
931,Beijing 2008 - Usain Bolt 9.69 sec World Record 100m,1864049,331,1416,Sports,2008
932,Когда твой худший враг - это ковер,2051016,18663,1807,People & Blogs,2017
933,Pink - I Don't Believe You Official Music Video Sims 2 HD,671291,400,119,Music,2009
934,Stephen Colbert 2011 Commencement Speech at Northwestern University,1142028,7520,105,Comedy,2011
935,Funny bear - Cho kaka o,556376,98,59,Entertainment,2007
936,Mister Dakar Doesn’t Want To Weigh Himself | Dakar Rally 2019 Ep.1,646832,536,48,Unknown,2019
937,Magistral - Consejos para ganar al Poker,1529281,8,10,Unknown,2019
938,BMW Crash BENZ ขับรถระวังๆนะครับ เสียดายรถ,766364,395,31,Autos & Vehicles,2017
939,رقص وخمر باحدااسطح العماير المطله على الساريه العلم بجده اجانب,1348369,273,695,People & Blogs,2016
940,"Come, habla y sonríe con confianza | Corega Chile | Adhesivos para prótesis dentales",2630931,8,3,Unknown,2020
941,Survive - Support Small Business - Facebook,4440336,277,53,People & Blogs,2020
942,It's Time.,1748740,5,10,Unknown,2020
943,Dog loves ticklish fringe,943385,8064,248,People & Blogs,2016
944,"""Terrified"" performed by Didi Benami, written by Kara DioGuardi and Jason Reeves.",1275336,4344,59,Music,2010
945,What happens when you surprise your BF with a boxer puppy?,681624,3157,36,People & Blogs,2013
946,Mano Negra - Mala Vida,18428307,38890,1029,Music,2006
947,Brave Kitten Stands Up to Dog,45622964,98565,38062,Entertainment,2011
948,Напугали бедолагу,8680501,13589,690,Comedy,2011
949,方珈悠嬉水片段.mp4,45632326,4263,9843,Entertainment,2010
950,Caroline - Status Quo,5114818,7759,171,Music,2006
951,5 biggest planes in the world,4044462,3746,929,Entertainment,2009
952,** FREE PSN / STEAM CODES **. Dropping every 250 subscribers!,731822,15,43,Gaming,2017
953,Охотничий кот,670799,5378,3901,People & Blogs,2016
954,HOMEFRONT [Official Trailer],3469160,1551,30,Entertainment,2013
955,"Lightning hits the sea - HD - Bay of Kotor, Montenegro",3690436,8840,394,Entertainment,2012
956,Funny Cats,57324296,143295,3809,Pets & Animals,2007
957,Жилье для инвалида. Ужасы Сыктывкара.,737404,1471,212,People & Blogs,2017
958,funniest field set ever in Cricket,6502261,2672,503,Sports,2009
959,Mariah Carey New Years Eve 2016 2017,2766473,2015,2655,People & Blogs,2017
960,Good old days,1249801,10317,145,Gaming,2016
961,Finch Frozen to Fence Rescue,3702696,25741,152,People & Blogs,2017
962,"Children Of Bodom - ""In Your Face""",10945662,44450,1852,Music,2006
963,Adam Braidwood vs. Tim Hague,1884834,538,1047,Sports,2017
964,Mercedes Benz Atego truck drift in the snow,1654960,723,168,Autos & Vehicles,2007
965,Racist Woman yelling and demanding to see a white doctor born in Canada.,1614429,6369,2096,Comedy,2017
966,2018 - ЛДПР,10615380,159207,1679,People & Blogs,2017
967,Parfym.se - Ad Q3-4 2019 - 15sec (B),2371993,7,1,Unknown,2019
968,Male cry jury with an incredible voice,27566202,55010,1927,Music,2011
969,Human Turkish Get Up,21193172,13643,2737,Sports,2011
970,bob marley,23465084,40072,1023,Music,2006
971,Rent A Wheel | Rent A Tire 20th Anniversary Sale,1908813,4,8,Unknown,2017
972,BARCS vet tech comforts crying puppy,805865,1041,32,People & Blogs,2016
973,Выборы 2018. Шокирующий фильм Никиты Михалкова «Лоботомия»,2056243,5762,28321,Nonprofits & Activism,2017
974,Duiosa unica bonita,21679223,13097,1155,Film & Animation,2008
975,Juiceee feat. Milena Ceranic - Bikini,5790939,8173,1653,Music,2011
976,Anaconda died because of eating another Snake,7540231,1033,237,People & Blogs,2015
977,100 greatest funny videos in the world,18742994,11645,2828,Entertainment,2010
978,Orbit México - Aeropuerto,56145673,1845,989,Howto & Style,2016
979,JESUS CHRIST IN JURASSIC PARK,1133562,2677,878,Pets & Animals,2011
980,"Tommy Wiseau in The Room vs. James Franco in The Disaster Artist (""I did not hit her "" scene)",835947,7495,232,Film & Animation,2017
981,Charlie Charlie Challenge Android,7594484,1473,525,Gaming,2015
982,Selfie Domino,7135785,7993,3168,People & Blogs,2017
983,Экстремальная экскурсия PNK,14316983,5944,375,Science & Technology,2017
984,SDCC 2018 D23EXPO LEAK AVENGERS 4 TEASER TRAILER GUARDIANS AND THOR,902113,5250,16759,People & Blogs,2017
985,Dogs Charge Police Officer Meridian Idaho David Gomez,2271314,11303,261,Nonprofits & Activism,2016
986,„Hipis” - nowa książka Paula Coelho już w księgarniach!,979231,11,1679,Unknown,2018
987,"Лидер вежливых фермеров о концерне ""Покровский""",815205,5214,1997,People & Blogs,2017
988,Philippe Poutou - On n'est pas touché (clip officiel de campagne à la présidentielle 2017),502245,3060,950,Pets & Animals,2017
989,Blinker fluid prank,3472449,25739,1535,People & Blogs,2017
990,Champions and Challengers - Adventure Time - Pre-register on Google Play Store,2986914,795,174,Gaming,2017
991,ITS Coop Travel - Traumhafte Ferien (kurz),1263044,2,5,Travel & Events,2017
992,It Got Grandma!: Chimp at Zoo Throws Poo in Grandma's Face!,3975037,24800,1387,Pets & Animals,2017
993,2017 0401 s10 Toruń Bydgoszcz,1273971,3076,454,Entertainment,2017
994,Eagles Fan Gets Wrecked by Pole,706418,877,40,Film & Animation,2018
995,UltraTap - новости из соцсетей,498038,706,1533,People & Blogs,2017
996,CALIFORNIA - MONDAY JUSTICE FEAT. SNOOP DOGG (Official Music Video),943248,2949,22,Music,2017
997,John McEnroe's most famous outburst happened in Stockholm in 1984,4853621,7254,426,Sports,2010
998,Adi Golan's Group - Teaser,56578,159207,1679,Music,2014
999,Keg tapping goes horribly wrong.,751804,3427,313,Entertainment,2017
1000,LIVE Hurricane Irma - Downtown Orlando - American Safety Council,554438,184,8,News & Politics,2016
